Número de empresa,Empresa,Nombre de pizarra,Industrias,Descripcion
1,Arca Continental,AC.MX,Industria de bebidas del sector consumo,"Se dedica a fabricar, distribuir y vender bebidas refrescantes de Coca-Cola. Distribuye y vende comida y aperitivos Bokados y Wise."
2,Alfa,ALFAA.MX,"Industria del procesado de almentos, del sector consumo.","Produccion de petroquimicos, fibras sinteticas, comida refrigerada, gas natural, servicio de telecomunicaciones y high-tech piezas de autos."
3,Alsea,ALSEA.MX,Industria restaurantera del sector servicios,"Es una franquicia de restaurantes de servicio completo y comida rapida como Burger King, Starbucks, California Pizza Kitchen y P.F. Chang's."
4,America Movil,AMXL.MX,Industria servicios de comunicación del sector servicios,"Empresa de telecomunicaciones. Provee servicios de tecnologia inalambrica, linea fija, banda ancha y servicios de television de pago."
5,ASUR,ASURB.MX,Industria de diversos transportes del sector transportes,"Se dedica a la operacion, mantenimiento y desarrollo de nueve aeropuertos en la region Sureste de Mexico"
6,Bimbo,BIMBOA.MX,Industria de procesado de alimentos del sector consumo,"Produce, distribuye y comercializa  productos en las categorias de pan rebanado, productos horneados dulces, pasteleria casera, etc."
7,Cemex,CEMEXCPO.MX,Industria construccion y provee materias primas del sector bienes de capital,"Se dedica a la produccion, promocion, distribucion y venta de cemento, concreto premezclado, agregados y otros materiales de construccion."
8,Alpek SAB de CV,ALPEKA.MX,Industria de quimicos(plasticos y hules) del sector materiales basicos.,"Conglomerado de companias de la industria quimica, distribucion de productos petroquimicos. Subsidiario de Grupo Alfa"
9,Elektra,ELEKTRA.MX,Industria de bancos regionales del sector financiero,El segmento financiero ofrece productos bancarios y financieros. El segmento de empresas venden productos para el hogar y electronicos
10,FEMSA,FEMSAUBD.MX,Industria de bebidas del sector consumo,"Fomento Economico Mexicano. Industria de las bebidas, sus negocios estan relacionados con la produccion y distribucion de refrescos."
11,Grupo Aeroportario del Pacífico,GAPB.MX,Industria de diversos transportes del sector transportes,Administra y desarrolla instalaciones aeroportuarias en Mexico.
12,Grupo Carso,GCARSOA1.MX,Industria de comercio al por menor en tiendas de autoservicio y departamentales del sector servicios,"Se dedica a construccion de plataforma de petroleo, centros comerciales, instalaciones industriales y construccion de edificios. Condumex, Sanborns, Infraestructura y construccion."
13,Gentera,GENTERA.MX,Industria de servicios financieros particulares del sector financiero,Ofrece creditos para mejoramiento del hogar y del negocio. Tambien presta servicios de cuentas de ahorro y productos de seguros de vida
14,Inbursa,GFINBURO.MX,Industria de bancos regionales del sector financiero,"Se dedica al sector financiero. Opera en cuatro lineas de negocio: banca comercial, gestion de activos, seguros y banca de inversion."
15,Banorte,GFNORTEO.MX,Industria de bancos regionales del sector financiero,"Adquiere y administra acciones y supervisa sus operaciones. Sus subsidiarias estan en servicios bancarios, leasing, factoreo, seguro de vida."
16,Banregio,GFREGIOO.MX,Industria de bancos regionales del sector financiero,"Banco ofrece prestamos de negocio, leasing, factoring, prestamos de capital a pymes. Provee seguros, cuentas corrientes y creditos para tierras."
